[DEBUG][2016-10-10 15:36:11,894][org.springframework.beans.factory.xml.PluggableSchemaResolver]Found XML schema [http://www.springframework.org/schema/beans/spring-beans-4.0.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-4.0.xsd
[DEBUG][2016-10-10 15:36:12,001][org.springframework.beans.factory.xml.PluggableSchemaResolver]Found XML schema [http://www.springframework.org/schema/context/spring-context-4.0.xsd] in classpath: org/springframework/context/config/spring-context-4.0.xsd
[DEBUG][2016-10-10 15:36:12,046][org.springframework.beans.factory.xml.PluggableSchemaResolver]Found XML schema [http://www.springframework.org/schema/tool/spring-tool-4.0.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-4.0.xsd
[DEBUG][2016-10-10 15:36:12,060][org.springframework.beans.factory.xml.DefaultBeanDefinitionDocumentReader]Loading bean definitions
[DEBUG][2016-10-10 15:36:12,075][org.springframework.beans.factory.xml.DefaultNamespaceHandlerResolver]Loaded NamespaceHandler mappings: {http://www.springframework.org/schema/p=org.springframework.beans.factory.xml.SimplePropertyNamespaceHandler, http://www.springframework.org/schema/mvc=org.springframework.web.servlet.config.MvcNamespaceHandler, http://www.springframework.org/schema/util=org.springframework.beans.factory.xml.UtilNamespaceHandler, http://www.springframework.org/schema/jee=org.springframework.ejb.config.JeeNamespaceHandler, http://www.springframework.org/schema/aop=org.springframework.aop.config.AopNamespaceHandler, http://www.springframework.org/schema/jdbc=org.springframework.jdbc.config.JdbcNamespaceHandler, http://www.springframework.org/schema/cache=org.springframework.cache.config.CacheNamespaceHandler, http://mybatis.org/schema/mybatis-spring=org.mybatis.spring.config.NamespaceHandler, http://www.springframework.org/schema/c=org.springframework.beans.factory.xml.SimpleConstructorNamespaceHandler, http://www.springframework.org/schema/security=org.springframework.security.config.SecurityNamespaceHandler, http://www.springframework.org/schema/tx=org.springframework.transaction.config.TxNamespaceHandler, http://www.springframework.org/schema/task=org.springframework.scheduling.config.TaskNamespaceHandler, http://www.springframework.org/schema/lang=org.springframework.scripting.config.LangNamespaceHandler, http://www.springframework.org/schema/context=org.springframework.context.config.ContextNamespaceHandler}
[DEBUG][2016-10-10 15:36:12,104][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Looking for matching resources in directory tree [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\dao\impl]
[DEBUG][2016-10-10 15:36:12,104][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Searching directory [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\dao\impl] for files matching pattern [D:/work/xbgy/xbgy/target/classes/com/xbgy/system/dao/impl/**/*.class]
[DEBUG][2016-10-10 15:36:12,108][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Resolved location pattern [classpath*:com/xbgy/system/dao/impl/**/*.class] to resources [file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\dao\impl\AccountDaoImpl.class], file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\dao\impl\UrlDaoImpl.class]]
[DEBUG][2016-10-10 15:36:12,132][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\dao\impl\AccountDaoImpl.class]
[DEBUG][2016-10-10 15:36:12,133][org.springframework.context.annotation.ClassPathBeanDefinitionScanner]Identified candidate component class: file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\dao\impl\UrlDaoImpl.class]
[DEBUG][2016-10-10 15:36:12,160][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Looking for matching resources in directory tree [D:\work\xbgy\xbgy\target\test-classes\com\xbgy]
[DEBUG][2016-10-10 15:36:12,160][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Searching directory [D:\work\xbgy\xbgy\target\test-classes\com\xbgy] for files matching pattern [D:/work/xbgy/xbgy/target/test-classes/com/xbgy/*/service/**/*.class]
